TestName	seed	FacLoc	FacScale	CellN	deProb	deDown	Rep	Test
2679_0.5_0.4_500_0.25_0.5	2679	0.5	0.4	500	0.25	0.5	2	38
5842_0.5_0.4_500_0.25_0.5	5842	0.5	0.4	500	0.25	0.5	3	38
2972_0.5_0.4_500_0.25_0.5	2972	0.5	0.4	500	0.25	0.5	4	38
4076_0.5_0.4_500_0.25_0.5	4076	0.5	0.4	500	0.25	0.5	5	38
194_1_0.4_500_0.25_0.5	194	1	0.4	500	0.25	0.5	1	39
5809_1_0.4_500_0.25_0.5	5809	1	0.4	500	0.25	0.5	2	39
6735_1_0.4_500_0.25_0.5	6735	1	0.4	500	0.25	0.5	3	39
7701_1_0.4_500_0.25_0.5	7701	1	0.4	500	0.25	0.5	4	39
2762_1_0.4_500_0.25_0.5	2762	1	0.4	500	0.25	0.5	5	39
6368_-0.2_0.4_500_0.25_0.5	6368	-0.2	0.4	500	0.25	0.5	1	40
3767_-0.2_0.4_500_0.25_0.5	3767	-0.2	0.4	500	0.25	0.5	2	40
9488_-0.2_0.4_500_0.25_0.5	9488	-0.2	0.4	500	0.25	0.5	3	40
619_-0.2_0.4_500_0.25_0.5	619	-0.2	0.4	500	0.25	0.5	4	40
9905_-0.2_0.4_500_0.25_0.5	9905	-0.2	0.4	500	0.25	0.5	5	40
6268_0.2_0.4_500_0.25_0.5	6268	0.2	0.4	500	0.25	0.5	1	41
968_0.2_0.4_500_0.25_0.5	968	0.2	0.4	500	0.25	0.5	2	41
973_0.2_0.4_500_0.25_0.5	973	0.2	0.4	500	0.25	0.5	3	41
8463_0.2_0.4_500_0.25_0.5	8463	0.2	0.4	500	0.25	0.5	4	41
9160_0.2_0.4_500_0.25_0.5	9160	0.2	0.4	500	0.25	0.5	5	41
4591_0.8_0.2_500_0.25_0.5	4591	0.8	0.2	500	0.25	0.5	1	42
7863_0.8_0.2_500_0.25_0.5	7863	0.8	0.2	500	0.25	0.5	2	42
6049_0.8_0.2_500_0.25_0.5	6049	0.8	0.2	500	0.25	0.5	3	42
6308_0.8_0.2_500_0.25_0.5	6308	0.8	0.2	500	0.25	0.5	4	42
2108_0.8_0.2_500_0.25_0.5	2108	0.8	0.2	500	0.25	0.5	5	42
9312_0.8_0.5_500_0.25_0.5	9312	0.8	0.5	500	0.25	0.5	1	43
3723_0.8_0.5_500_0.25_0.5	3723	0.8	0.5	500	0.25	0.5	2	43
6028_0.8_0.5_500_0.25_0.5	6028	0.8	0.5	500	0.25	0.5	3	43
6761_0.8_0.5_500_0.25_0.5	6761	0.8	0.5	500	0.25	0.5	4	43
9450_0.8_0.5_500_0.25_0.5	9450	0.8	0.5	500	0.25	0.5	5	43
7158_0.8_1_500_0.25_0.5	7158	0.8	1	500	0.25	0.5	1	44
2367_0.8_1_500_0.25_0.5	2367	0.8	1	500	0.25	0.5	2	44
3542_0.8_1_500_0.25_0.5	3542	0.8	1	500	0.25	0.5	3	44
1617_0.8_1_500_0.25_0.5	1617	0.8	1	500	0.25	0.5	4	44
3633_0.8_1_500_0.25_0.5	3633	0.8	1	500	0.25	0.5	5	44
3433_0.8_1.5_500_0.25_0.5	3433	0.8	1.5	500	0.25	0.5	1	45
5284_0.8_1.5_500_0.25_0.5	5284	0.8	1.5	500	0.25	0.5	2	45
1823_0.8_1.5_500_0.25_0.5	1823	0.8	1.5	500	0.25	0.5	3	45
9414_0.8_1.5_500_0.25_0.5	9414	0.8	1.5	500	0.25	0.5	4	45
1079_0.8_1.5_500_0.25_0.5	1079	0.8	1.5	500	0.25	0.5	5	45
7764_0.8_0.4_MULT1_0.25_0.5	8273	0.8	0.4	"50,100,200,300,400,600,800,1200,1600"	0.25	0.5	1	46
1885_0.8_0.4_MULT1_0.25_0.5	6258	0.8	0.4	"50,100,200,300,400,600,800,1200,1600"	0.25	0.5	2	46
46_0.8_0.4_MULT1_0.25_0.5	1038	0.8	0.4	"50,100,200,300,400,600,800,1200,1600"	0.25	0.5	3	46
8582_0.8_0.4_MULT1_0.25_0.5	6338	0.8	0.4	"50,100,200,300,400,600,800,1200,1600"	0.25	0.5	4	46
5410_0.8_0.4_MULT1_0.25_0.5	1821	0.8	0.4	"50,100,200,300,400,600,800,1200,1600"	0.25	0.5	5	46
6460_0.8_0.4_MULT2_0.25_0.5	7559	0.8	0.4	"1600,1200,800,600,400,300,200,100,50"	0.25	0.5	1	47
